keys,en,hu
ITEMS,ITEMS,TÁRGYAK
Improves this mutation's primary effect.,Improves this mutation's primary effect.,Javítja a mutáció elsődleges hatását.
KILL-SWITCH NODES,KILL-SWITCH NODES,VÉSZLEÁLLÍTÓ CSOMÓK
KINETIC CAPTIVITY,KINETIC CAPTIVITY,KINETIKUS FOGSÁG
KINETIC SHARD,KINETIC SHARD,KINETIKUS SZILÁNK
KODA LOST,KODA LOST,KODA ELVESZETT
KODA STATUS,KODA STATUS,KODA ÁLLAPOTA
LANGUAGE,LANGUAGE,NYELV
LAST BODY,LAST BODY,ELŐZŐ TEST
LEVEL  %d / %d,LEVEL  %d / %d,SZINT  %d / %d
LIFETIME,LIFETIME,TELJES ÉLETTARTAM
LOADING,LOADING,BETÖLTÉS
LOCKED - DEFEAT THE WARDEN,LOCKED - DEFEAT THE WARDEN,ZÁROLVA - GYŐZD LE AZ ŐRZŐT
LOCKED: BUY %s FIRST,LOCKED: BUY %s FIRST,ZÁROLVA: ELŐBB VEDD MEG: %s
LV %d > %d // %s,LV %d > %d // %s,SZINT %d > %d // %s
Launches a piercing lightning spear through a line of enemies.,Launches a piercing lightning spear through a line of enemies.,Áthatoló villámlándzsát lő ki az ellenfelek során keresztül.
MAGMA SPEAR,MAGMA SPEAR,MAGMALÁNDZSA
MAGNETIC TISSUE,MAGNETIC TISSUE,MÁGNESES SZÖVET
MAGYAR (COMING SOON),MAGYAR (COMING SOON),MAGYAR (HAMAROSAN)
MAIN MENU,MAIN MENU,FŐMENÜ
MASS AMPLIFIER,MASS AMPLIFIER,TÖMEGERŐSÍTŐ
MASTER VOLUME,MASTER VOLUME,FŐ HANGERŐ
MAXIMUM LEVEL,MAXIMUM LEVEL,MAXIMÁLIS SZINT
MIMICHU,MIMICHU,MIMICHU
MUTATION,MUTATION,MUTÁCIÓ
NERVE DRIVE,NERVE DRIVE,IDEGHAJTÁS
NEURAL IMPRINT TRANSFER COMPLETE,NEURAL IMPRINT TRANSFER COMPLETE,NEURÁLIS LENYOMAT ÁTVITELE KÉSZ
NEURAL IMPRINT: SUCCESS,NEURAL IMPRINT: SUCCESS,NEURÁLIS LENYOMAT: SIKERES
NEURAL LANCE,NEURAL LANCE,NEURÁLIS LÁNDZSA
NEURAL LINK READY,NEURAL LINK READY,NEURÁLIS KAPCSOLAT KÉSZ
NEW WEAPON,NEW WEAPON,ÚJ FEGYVER
NEXT  >    [SPACE],NEXT  >    [SPACE],KÖVETKEZŐ  >    [SPACE]
NEXT: %s,NEXT: %s,KÖVETKEZŐ: %s
NO,NO,NEM
NOETIC HEART,NOETIC HEART,NOETIKUS SZÍV
ORGAN SCREEN,ORGAN SCREEN,SZERVKÉPERNYŐ
OVERLOAD VENT,OVERLOAD VENT,TÚLTERHELÉS-SZELEP
PAUSED,PAUSED,SZÜNET
PENDING ORGAN,PENDING ORGAN,VÁRAKOZÓ SZERV
PHASE I,PHASE I,I. FÁZIS
PHASE II,PHASE II,II. FÁZIS
PLAYABLE PROTOTYPE,PLAYABLE PROTOTYPE,JÁTSZHATÓ PROTOTÍPUS
PREDATOR CORE,PREDATOR CORE,RAGADOZÓ MAG
PREDATORY REACH,PREDATORY REACH,RAGADOZÓ HATÓTÁV
PREPARING BIOFABRICATION CHAMBER,PREPARING BIOFABRICATION CHAMBER,BIOFABRIKÁCIÓS KAMRA ELŐKÉSZÍTÉSE
PROJECTILE REVERSAL,PROJECTILE REVERSAL,LÖVEDÉK-VISSZAFORDÍTÁS
PULSE CAPACITOR,PULSE CAPACITOR,IMPULZUSKONDENZÁTOR
PYRE HEART,PYRE HEART,MÁGLYASZÍV
QUICKENED TENDONS,QUICKENED TENDONS,GYORSÍTOTT INAK
QUIT GAME,QUIT GAME,KILÉPÉS
RAPID SYNAPSES,RAPID SYNAPSES,GYORS SZINAPSZISOK
RARE,RARE,RITKA
REPLACE ORGAN?,REPLACE ORGAN?,SZERV CSERÉJE?
REPULSE WAVE,REPULSE WAVE,TASZÍTÓHULLÁM
RESET ALL,RESET ALL,MINDEN TÖRLÉSE
RESET ALL PROGRESS?,RESET ALL PROGRESS?,MINDEN HALADÁS TÖRLÉSE?
RESPEC,RESPEC,ÚJRAOSZTÁS
RESPEC FLESH TREE?,RESPEC FLESH TREE?,HÚSFA ÚJRAOSZTÁSA?
RESTART RUN,RESTART RUN,RUN ÚJRAINDÍTÁSA
RESUME,RESUME,FOLYTATÁS
RETURN TO MAIN MENU,RETURN TO MAIN MENU,VISSZA A FŐMENÜBE
RUN COMPLETE,RUN COMPLETE,RUN TELJESÍTVE
RUSH %d — INCOMING,RUSH %d — INCOMING,ROHAM %d — ÉRKEZIK
SCANNING...,SCANNING...,VIZSGÁLAT...
SELECT FLESHDRIVE FOR IMPLANTATION,SELECT FLESHDRIVE FOR IMPLANTATION,VÁLASSZ BEÜLTETENDŐ FLESHDRIVE-OT
SETTINGS,SETTINGS,BEÁLLÍTÁSOK
SHOCK RAM,SHOCK RAM,SOKKROHAM
SHOW CONTROLS & SYSTEMS,SHOW CONTROLS & SYSTEMS,IRÁNYÍTÁS ÉS RENDSZEREK
SKIP PRINTING,SKIP PRINTING,NYOMTATÁS ÁTUGRÁSA
STABILIZING...,STABILIZING...,STABILIZÁLÁS...
START NEW RUN,START NEW RUN,ÚJ RUN INDÍTÁSA
START RUN,START RUN,RUN INDÍTÁSA
SUBJECT,SUBJECT,ALANY
SUCCESS,SUCCESS,SIKERES
SURVIVE FOR 12 MINUTES,SURVIVE FOR 12 MINUTES,ÉLJ TÚL 12 PERCIG
SYNERGY,SYNERGY,SZINERGIA
TESLA LASH,TESLA LASH,TESLA-CSAPÁS
THE VISCERAL WARDEN,THE VISCERAL WARDEN,A ZSIGERI ŐRZŐ
THE VISCERAL WARDEN AWAKENS,THE VISCERAL WARDEN AWAKENS,A ZSIGERI ŐRZŐ FELÉBRED
THE WARDEN IS ENRAGED,THE WARDEN IS ENRAGED,AZ ŐRZŐ FELBŐSZÜLT
THERMAL LATTICE,THERMAL LATTICE,HŐRÁCS
UPGRADE,UPGRADE,FEJLESZTÉS
Unlocks chain lightning for the Voltaic Heart base attack.,Unlocks chain lightning for the Voltaic Heart base attack.,Feloldja a láncvillámot a Voltaikus Szív alaptámadásához.
VECTOR CORTEX,VECTOR CORTEX,VEKTORKÉREG
VOLT SHARD VOLLEY,VOLT SHARD VOLLEY,VOLTSZILÁNK-SOROZAT
VOLTAIC HEART,VOLTAIC HEART,VOLTAIKUS SZÍV
VOLTAIC HEART STYLE,VOLTAIC HEART STYLE,VOLTAIKUS SZÍV STÍLUS
WARDEN DESTROYED,WARDEN DESTROYED,ŐRZŐ ELPUSZTÍTVA
WEAPON METABOLISM,WEAPON METABOLISM,FEGYVER ANYAGCSERE
WEAPONS  ·  3 EXTRA SLOTS,WEAPONS  ·  3 EXTRA SLOTS,FEGYVEREK  ·  3 EXTRA HELY
WELCOME TO FLESHDRIVE,WELCOME TO FLESHDRIVE,ÜDV A FLESHDRIVE-BAN
XP,XP,XP
YES,YES,IGEN
YOU DIED,YOU DIED,MEGHALTÁL
"A neural shield has a 35% chance to reverse an incoming projectile, amplifying it against enemies.","A neural shield has a 35% chance to reverse an incoming projectile, amplifying it against enemies.","Egy neurális pajzs 35% eséllyel visszafordít egy érkező lövedéket, amely felerősödve sebzi az ellenfeleket."
Again? Hold still. You always twitch before the eyes are finished.,Again? Hold still. You always twitch before the eyes are finished.,"Már megint? Maradj nyugton. Mindig rángatózol, mielőtt elkészülnek a szemeid."
"All telekinetic attacks recover 9% faster, deal 8% more damage and apply 8% stronger force, including Koda's auto-attack.","All telekinetic attacks recover 9% faster, deal 8% more damage and apply 8% stronger force, including Koda's auto-attack.","Minden telekinetikus támadás 9%-kal gyorsabban töltődik, 8%-kal többet sebez és 8%-kal nagyobb erőt fejt ki, Koda automatikus támadását is beleértve."
"Battlefield control, forced positioning and projectile manipulation. Excels at shaping dense hordes.","Battlefield control, forced positioning and projectile manipulation. Excels at shaping dense hordes.","Csatatér-irányítás, kényszerített pozicionálás és lövedékmanipuláció. Sűrű hordák formálásában kiemelkedő."
"Damage over time, area denial and cascading explosions. Excels at controlling dense hordes.","Damage over time, area denial and cascading explosions. Excels at controlling dense hordes.","Folyamatos sebzés, területlezárás és láncolódó robbanások. Sűrű hordák irányításában kiemelkedő."
Easy now. The imprint held. Most of you came back in the correct places.,Easy now. The imprint held. Most of you came back in the correct places.,Nyugalom. A lenyomat megmaradt. A legtöbb részed a megfelelő helyre került vissza.
"Immediate burst damage, precise ranged pressure and lightning chains. Excels at deleting priority targets.","Immediate burst damage, precise ranged pressure and lightning chains. Excels at deleting priority targets.","Azonnali kitörő sebzés, precíz távolsági nyomás és láncvillámok. Elsődleges célpontok gyors megsemmisítésében kiemelkedő."
"Telekinetically captures living enemies and orbits them around Koda. Captives batter nearby targets, then collapse; higher levels hold more subjects.","Telekinetically captures living enemies and orbits them around Koda. Captives batter nearby targets, then collapse; higher levels hold more subjects.","Telekinetikusan elfog élő ellenfeleket és Koda körül keringeti őket. A foglyok sebzik a közeli célpontokat, majd összeesnek; magasabb szinten több alany tartható fogva."
The body is new. The memory is not. Your Blood Memory fragments are safe.,The body is new. The memory is not. Your Blood Memory fragments are safe.,A test új. Az emlék nem. A Vérmemória-töredékeid biztonságban vannak.
The fabricator remembered your scars. I told it not to.,The fabricator remembered your scars. I told it not to.,"A fabrikátor emlékezett a hegeidre. Pedig mondtam neki, hogy ne tegye."
Was that the twenty-third? Never mind. I made another you.,Was that the twenty-third? Never mind. I made another you.,Ez volt a huszonharmadik? Mindegy. Készítettem belőled egy másikat.
You are getting easier to print. I am not sure that is good.,You are getting easier to print. I am not sure that is good.,"Egyre könnyebb kinyomtatni téged. Nem vagyok biztos benne, hogy ez jó."
DISPLAY & AUDIO,DISPLAY & AUDIO,KÉP ÉS HANG
GAMEPLAY & ACCESSIBILITY,GAMEPLAY & ACCESSIBILITY,JÁTÉKMENET ÉS KISEGÍTÉS
MIX & ACCESSIBILITY,MIX & ACCESSIBILITY,HANGKEVERÉS ÉS KISEGÍTÉS
MUSIC,MUSIC,ZENE
SFX,SFX,HANGEFFEKTEK
CAMERA SHAKE,CAMERA SHAKE,KAMERARÁZKÓDÁS
VFX INTENSITY,VFX INTENSITY,EFFEKTEK ERŐSSÉGE
STICK DEADZONE,STICK DEADZONE,KAR HOLTJÁTÉKA
CROSSHAIR SIZE,CROSSHAIR SIZE,CÉLKERESZT MÉRETE
HIT FLASH,HIT FLASH,TALÁLATI VILLANÁS
AIM ASSIST,AIM ASSIST,CÉLZÁSRÁSEGÍTÉS
DAMAGE NUMBERS,DAMAGE NUMBERS,SEBZÉSSZÁMOK
TUTORIALS,TUTORIALS,OKTATÓÜZENETEK
MIMICHU_OPERATION_PROMPT,"MIMICHU

Pick what kind of monster you want to become. I cleaned both. Mostly.","MIMICHU

Válaszd ki, milyen szörnnyé akarsz válni. Mindkettőt megtisztítottam. Többnyire."
ONBOARDING_RUN_OBJECTIVE,"SURVIVE FOR 12 MINUTES
Collect biomass, refine your build, defeat the Warden.","ÉLJ TÚL 12 PERCIG
Gyűjts biomasszát, fejleszd a buildedet, és győzd le az Őrzőt."
ONBOARDING_SYSTEM_GUIDE,"MOVE  WASD / LEFT STICK    ATTACK  LMB / RIGHT STICK
DASH  SPACE / GAMEPAD A     PAUSE   ESC / START

Level-up offers always include an active Fleshdrive mutation.
Matching synergy tags strengthen a focused build.
Install organs on the matching anatomy slot in ORGAN SCREEN.","MOZGÁS  WASD / BAL KAR    TÁMADÁS  BAL EGÉRGOMB / JOBB KAR
DASH  SPACE / GAMEPAD A    SZÜNET  ESC / START

Szintlépéskor mindig kapsz az aktív Fleshdrive-hoz illő mutációt.
Az egyező szinergiacímkék erősítik a kiválasztott buildet.
A szerveket a SZERVKÉPERNYŐ megfelelő anatómiai helyére ültesd."
BURST / MOBILITY / CHAIN LIGHTNING,BURST / MOBILITY / CHAIN LIGHTNING,KITÖRŐ SEBZÉS / MOBILITÁS / LÁNCVILLÁM
BURN / AREA DENIAL / ATTRITION,BURN / AREA DENIAL / ATTRITION,ÉGÉS / TERÜLETLEZÁRÁS / FELŐRLÉS
CONTROL / POSITIONING / REVERSAL,CONTROL / POSITIONING / REVERSAL,KONTROLL / POZICIONÁLÁS / VISSZAFORDÍTÁS
CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS,CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS,LÁNCVILLÁM / GYORS ÚJRATÖLTÉS / DASH ÜTKÖZÉS
BURN STACKS / FIRE ZONES / DEATH EXPLOSIONS,BURN STACKS / FIRE ZONES / DEATH EXPLOSIONS,ÉGÉS HALMOZÁSA / TŰZZÓNÁK / HALÁLROBBANÁSOK
GRAVITY CONTROL / KNOCKBACK / PIERCING,GRAVITY CONTROL / KNOCKBACK / PIERCING,GRAVITÁCIÓS KONTROLL / HÁTRALÖKÉS / ÁTHATOLÁS
TIME,TIME,IDŐ
KILLS,KILLS,ÖLÉSEK
BIOMASS,BIOMASS,BIOMASSZA
LEVEL,LEVEL,SZINT
TOP DAMAGE,TOP DAMAGE,LEGFŐBB SEBZÉSFORRÁSOK
LOADOUT,LOADOUT,FELSZERELÉS
YOU WIN,YOU WIN,GYŐZTÉL
BACK TO MUTATIONS [ESC],BACK TO MUTATIONS [ESC],VISSZA A MUTÁCIÓKHOZ [ESC]
BACK TO PAUSE [ESC],BACK TO PAUSE [ESC],VISSZA A SZÜNETHEZ [ESC]
ELECTRIC,ELECTRIC,ELEKTROMOS
FIRE,FIRE,TŰZ
NOETIC,NOETIC,NOETIKUS
"CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS
Synergies: ARC HEART, PULSE CAPACITOR, OVERLOAD VENT","CHAIN LIGHTNING / FAST COOLDOWNS / DASH IMPACTS
Synergies: ARC HEART, PULSE CAPACITOR, OVERLOAD VENT","LÁNCVILLÁM / GYORS ÚJRATÖLTÉS / DASH ÜTKÖZÉS
Szinergiák: ÍVSZÍV, IMPULZUSKONDENZÁTOR, TÚLTERHELÉS-SZELEP"
"BURN STACKS / FIRE ZONES / DEATH EXPLOSIONS
Synergies: COMBUSTION SAC, THERMAL LATTICE, FLASHPOINT NODES","BURN STACKS / FIRE ZONES / DEATH EXPLOSIONS
Synergies: COMBUSTION SAC, THERMAL LATTICE, FLASHPOINT NODES","ÉGÉS HALMOZÁSA / TŰZZÓNÁK / HALÁLROBBANÁSOK
Szinergiák: ÉGÉSZACSKÓ, HŐRÁCS, GYULLADÁSPONT-CSOMÓK"
"GRAVITY CONTROL / KNOCKBACK / PIERCING
Synergies: GRAVITY WELL, KINETIC CAPTIVITY, PROJECTILE REVERSAL","GRAVITY CONTROL / KNOCKBACK / PIERCING
Synergies: GRAVITY WELL, KINETIC CAPTIVITY, PROJECTILE REVERSAL","GRAVITÁCIÓS KONTROLL / HÁTRALÖKÉS / ÁTHATOLÁS
Szinergiák: GRAVITÁCIÓS KÚT, KINETIKUS FOGSÁG, LÖVEDÉK-VISSZAFORDÍTÁS"
WARDEN CORE RECOVERED // BLUEPRINT IMPRINTED,WARDEN CORE RECOVERED // BLUEPRINT IMPRINTED,ŐRZŐMAG MEGSZEREZVE // TERVRAJZ RÖGZÍTVE
PHASE,PHASE,FÁZIS
BIOMASS SURGE DETECTED // RUSH INCOMING,BIOMASS SURGE DETECTED // RUSH INCOMING,BIOMASSZA-KITÖRÉS ÉSZLELVE // ROHAM KÖZELEG
WARDEN SIGNAL DETECTED // CONTAINMENT SEALING,WARDEN SIGNAL DETECTED // CONTAINMENT SEALING,ŐRZŐJEL ÉSZLELVE // ELZÁRÁS FOLYAMATBAN
WARDEN PROTOCOL,WARDEN PROTOCOL,ŐRZŐPROTOKOLL
INITIAL INCISION,INITIAL INCISION,KEZDETI BEMETSZÉS
RANGED ESCALATION,RANGED ESCALATION,TÁVOLSÁGI ESZKALÁCIÓ
PRESSURE TEST,PRESSURE TEST,TERHELÉSI PRÓBA
COMPOSITE HUNT,COMPOSITE HUNT,ÖSSZETETT VADÁSZAT
PRE-WARDEN TRIALS,PRE-WARDEN TRIALS,ŐRZŐ ELŐTTI PRÓBÁK
AWAKENING,AWAKENING,ÉBREDÉS
ADAPTATION,ADAPTATION,ALKALMAZKODÁS
SYSTEM STRESS,SYSTEM STRESS,RENDSZERTERHELÉS
COMPOUND PRESSURE,COMPOUND PRESSURE,ÖSSZETETT NYOMÁS
CONTAINMENT FAILURE,CONTAINMENT FAILURE,ELZÁRÁSI HIBA
CARD_FORKED_ARC_NODE_NAME,FORKED ARC NODE,ELÁGAZÓ ÍVCSOMÓ
CARD_FORKED_ARC_NODE_DESC,"Chain lightning has a 45% chance to fork once into two unhit targets for 45% damage. A chain cannot revisit a target.","A láncvillám 45% eséllyel egyszer két még el nem talált célpontra ágazik 45% sebzéssel. Egy lánc nem térhet vissza korábbi célpontra."
CARD_STATIC_RESERVOIR_NAME,STATIC RESERVOIR,STATIKUS TÁROLÓ
CARD_STATIC_RESERVOIR_DESC,"Every 10 chain hits releases a 180 px pulse for 70% + 15% per level attack damage.","Minden 10. lánctalálat 180 px sugarú impulzust kelt, amely a támadási sebzés 70% + szintenként 15%-át okozza."
CARD_GROUNDING_FILAMENTS_NAME,GROUNDING FILAMENTS,FÖLDELŐ FILAMENTUMOK
CARD_GROUNDING_FILAMENTS_DESC,"Electric hits Ground for 2 seconds. The next chain hit consumes it for +7% chain damage and +12 px chain range per level.","Az elektromos találatok 2 másodpercre Földelnek. A következő lánctalálat elfogyasztja: szintenként +7% láncsebzés és +12 px lánchatótáv."
CARD_THUNDER_GAIT_NAME,THUNDER GAIT,MENNYDÖRGŐ JÁRÁS
CARD_THUNDER_GAIT_DESC,"Crossing at least two enemies in one dash refunds 45% dash cooldown and triggers a 70% attack-damage aftershock once per dash.","Legalább két ellenfélen áthaladó dash 45% dash cooldown-visszatérítést és egyszer 70% támadási sebzésű utórezgést ad."
CARD_KINETIC_CAPACITOR_NAME,KINETIC CAPACITOR,KINETIKUS KONDENZÁTOR
CARD_KINETIC_CAPACITOR_DESC,"Every 280 px moved stores one charge up to three. Shock Ram consumes all charges for +7% damage per level and charge.","Minden megtett 280 px egy töltést tárol, legfeljebb hármat. A Shock Ram mindet elfogyasztja, töltésenként és szintenként +7% sebzésért."
CARD_GALVANIC_TENDONS_NAME,GALVANIC TENDONS,GALVANIKUS INAK
CARD_GALVANIC_TENDONS_DESC,"Per level: +4% move speed and +7% dash-impact radius, but -3% non-dash secondary electric damage.","Szintenként +4% mozgási sebesség és +7% dash-becsapódási sugár, de -3% nem dash eredetű másodlagos elektromos sebzés."
CARD_SPORE_EMBER_SAC_NAME,SPORE EMBER SAC,PARÁZSSPÓRA-ZSÁK
CARD_SPORE_EMBER_SAC_DESC,"At five burn stacks, sends one stack every 0.75 seconds to the nearest unburned enemy within 150 px. Maximum two transfers per second.","Öt égésjelzőnél 0,75 másodpercenként egy jelzőt küld a legközelebbi 150 px-en belüli, még nem égő ellenfélre. Legfeljebb két átvitel másodpercenként."
CARD_OXYGEN_THIEF_NAME,OXYGEN THIEF,OXIGÉNTOLVAJ
CARD_OXYGEN_THIEF_DESC,"Each burning enemy within 280 px increases burn tick rate by 0.6% per level, capped at +6% per level.","Minden 280 px-en belüli égő ellenfél szintenként 0,6%-kal gyorsítja az égési tickeket, legfeljebb szintenként +6%-ig."
CARD_SMOLDERING_HIDE_NAME,SMOLDERING HIDE,PARÁZSLÓ IRHA
CARD_SMOLDERING_HIDE_DESC,"Per level: +12% burn duration and burning enemies deal 2% less contact damage, but direct fire damage is reduced by 3%.","Szintenként +12% égési idő és az égő ellenfelek 2%-kal kevesebb kontaktsebzést okoznak, de a közvetlen tűzsebzés 3%-kal csökken."
CARD_RUPTURE_VESICLE_NAME,RUPTURE VESICLE,REPESZTŐ HÓLYAG
CARD_RUPTURE_VESICLE_DESC,"Combustion consumes all burn stacks and gains +35% explosion damage per stack, but no longer spreads burn.","A Combustion elfogyaszt minden égésjelzőt, jelzőnként +35% robbanási sebzést kap, de többé nem terjeszt égést."
CARD_ASH_PRESSURE_CHAMBER_NAME,ASH PRESSURE CHAMBER,HAMUNYOMÁS-KAMRA
CARD_ASH_PRESSURE_CHAMBER_DESC,"Per level: Combustion, Ashen Eruption and Flashpoint explosions gain +8% radius and +6% damage.","Szintenként a Combustion, Ashen Eruption és Flashpoint robbanások +8% sugarat és +6% sebzést kapnak."
CARD_CHAIN_IGNITER_NAME,CHAIN IGNITER,LÁNCGYÚJTÓ
CARD_CHAIN_IGNITER_DESC,"Explosion kills have a 12% + 4% per level chance to create a 60% secondary explosion, up to three generations.","A robbanásos ölések 12% + szintenként 4% eséllyel 60%-os másodlagos robbanást keltenek, legfeljebb három generációig."
CARD_EVENT_HORIZON_MEMBRANE_NAME,EVENT HORIZON MEMBRANE,ESEMÉNYHORIZONT-MEMBRÁN
